INFO:root:Start fine tuning for 100 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar100]_BS=256_LR=0.0002_eps=1/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch 68	Top1 Train accuracy 57.25446319580078	Top1 Test accuracy: 56.0271110534668	Top5 test acc: 95.01264190673828
DEBUG:root:Epoch 69	Top1 Train accuracy 57.3182373046875	Top1 Test accuracy: 56.0564079284668	Top5 test acc: 95.03217315673828
DEBUG:root:Epoch 70	Top1 Train accuracy 57.38002014160156	Top1 Test accuracy: 56.1247673034668	Top5 test acc: 95.09076690673828
DEBUG:root:Epoch 71	Top1 Train accuracy 57.4158935546875	Top1 Test accuracy: 56.10639190673828	Top5 test acc: 95.10053253173828
DEBUG:root:Epoch 72	Top1 Train accuracy 57.455753326416016	Top1 Test accuracy: 56.14545440673828	Top5 test acc: 95.11029815673828
DEBUG:root:Epoch 73	Top1 Train accuracy 57.51953125	Top1 Test accuracy: 56.2028923034668	Top5 test acc: 95.12006378173828
DEBUG:root:Epoch 74	Top1 Train accuracy 57.559391021728516	Top1 Test accuracy: 56.2419548034668	Top5 test acc: 95.15912628173828
DEBUG:root:Epoch 75	Top1 Train accuracy 57.60124206542969	Top1 Test accuracy: 56.28217315673828	Top5 test acc: 95.13959503173828
DEBUG:root:Epoch 76	Top1 Train accuracy 57.651065826416016	Top1 Test accuracy: 56.3005485534668	Top5 test acc: 95.13844299316406
DEBUG:root:Epoch 77	Top1 Train accuracy 57.70089340209961	Top1 Test accuracy: 56.3396110534668	Top5 test acc: 95.15797424316406
DEBUG:root:Epoch 78	Top1 Train accuracy 57.720821380615234	Top1 Test accuracy: 56.39706039428711	Top5 test acc: 95.16773986816406
DEBUG:root:Epoch 79	Top1 Train accuracy 57.73676681518555	Top1 Test accuracy: 56.4372673034668	Top5 test acc: 95.17750549316406
DEBUG:root:Epoch 80	Top1 Train accuracy 57.781009674072266	Top1 Test accuracy: 56.5642204284668	Top5 test acc: 95.19703674316406
DEBUG:root:Epoch 81	Top1 Train accuracy 57.80093765258789	Top1 Test accuracy: 56.58260726928711	Top5 test acc: 95.19703674316406
DEBUG:root:Epoch 82	Top1 Train accuracy 57.82286071777344	Top1 Test accuracy: 56.64120101928711	Top5 test acc: 95.20680236816406
DEBUG:root:Epoch 83	Top1 Train accuracy 57.840797424316406	Top1 Test accuracy: 56.66073226928711	Top5 test acc: 95.22633361816406
DEBUG:root:Epoch 84	Top1 Train accuracy 57.83481979370117	Top1 Test accuracy: 56.69002914428711	Top5 test acc: 95.24586486816406
DEBUG:root:Epoch 85	Top1 Train accuracy 57.878665924072266	Top1 Test accuracy: 56.70956039428711	Top5 test acc: 95.24586486816406
DEBUG:root:Epoch 86	Top1 Train accuracy 57.89859390258789	Top1 Test accuracy: 56.74862289428711	Top5 test acc: 95.23609924316406
DEBUG:root:Epoch 87	Top1 Train accuracy 57.91852569580078	Top1 Test accuracy: 56.78768539428711	Top5 test acc: 95.24586486816406
DEBUG:root:Epoch 88	Top1 Train accuracy 57.938453674316406	Top1 Test accuracy: 56.815834045410156	Top5 test acc: 95.24586486816406
DEBUG:root:Epoch 89	Top1 Train accuracy 57.9822998046875	Top1 Test accuracy: 56.815834045410156	Top5 test acc: 95.24586486816406
DEBUG:root:Epoch 90	Top1 Train accuracy 58.014190673828125	Top1 Test accuracy: 56.8635139465332	Top5 test acc: 95.25563049316406
DEBUG:root:Epoch 91	Top1 Train accuracy 58.040096282958984	Top1 Test accuracy: 56.8732795715332	Top5 test acc: 95.23609924316406
DEBUG:root:Epoch 92	Top1 Train accuracy 58.06999206542969	Top1 Test accuracy: 56.8732795715332	Top5 test acc: 95.25563049316406
