INFO:root:Start fine tuning for 250 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar]_BS=256_LR=2e-4_eps=0.5/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
INFO:root:Start fine tuning for 250 epochs.
INFO:root:Pre-trained model loaded: ../runs/[cifar]_BS=256_LR=2e-4_eps=0.5/checkpoint_0500.pth.tar.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch 55	Top1 Train accuracy 47.9145393371582	Top1 Test accuracy: 63.275508880615234	Top5 test acc: 96.43727111816406
DEBUG:root:Epoch 56	Top1 Train accuracy 47.916534423828125	Top1 Test accuracy: 63.295040130615234	Top5 test acc: 96.44703674316406
DEBUG:root:Epoch 57	Top1 Train accuracy 47.92051696777344	Top1 Test accuracy: 63.295040130615234	Top5 test acc: 96.44703674316406
DEBUG:root:Epoch 58	Top1 Train accuracy 47.960777282714844	Top1 Test accuracy: 63.343868255615234	Top5 test acc: 96.46656799316406
DEBUG:root:Epoch 59	Top1 Train accuracy 48.002628326416016	Top1 Test accuracy: 63.402462005615234	Top5 test acc: 96.48609924316406
DEBUG:root:Epoch 60	Top1 Train accuracy 48.012596130371094	Top1 Test accuracy: 63.402462005615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 61	Top1 Train accuracy 48.00621795654297	Top1 Test accuracy: 63.392696380615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 62	Top1 Train accuracy 48.028141021728516	Top1 Test accuracy: 63.451290130615234	Top5 test acc: 96.52516174316406
DEBUG:root:Epoch 63	Top1 Train accuracy 48.03053283691406	Top1 Test accuracy: 63.44266891479492	Top5 test acc: 96.50678253173828
DEBUG:root:Epoch 64	Top1 Train accuracy 48.06241989135742	Top1 Test accuracy: 63.47196578979492	Top5 test acc: 96.49701690673828
DEBUG:root:Epoch 65	Top1 Train accuracy 48.07836151123047	Top1 Test accuracy: 63.512176513671875	Top5 test acc: 96.50678253173828
DEBUG:root:Epoch 66	Top1 Train accuracy 48.11623001098633	Top1 Test accuracy: 63.551239013671875	Top5 test acc: 96.49701690673828
DEBUG:root:Epoch 67	Top1 Train accuracy 48.11623001098633	Top1 Test accuracy: 63.609832763671875	Top5 test acc: 96.51654815673828
DEBUG:root:Epoch 68	Top1 Train accuracy 48.138153076171875	Top1 Test accuracy: 63.648895263671875	Top5 test acc: 96.52631378173828
DEBUG:root:Epoch 69	Top1 Train accuracy 48.14811706542969	Top1 Test accuracy: 63.658660888671875	Top5 test acc: 96.52631378173828
DEBUG:root:Epoch 70	Top1 Train accuracy 48.16804885864258	Top1 Test accuracy: 63.66727828979492	Top5 test acc: 96.54584503173828
DEBUG:root:Epoch 71	Top1 Train accuracy 48.19993591308594	Top1 Test accuracy: 63.65751266479492	Top5 test acc: 96.55561065673828
DEBUG:root:Epoch 72	Top1 Train accuracy 48.19196319580078	Top1 Test accuracy: 63.67704391479492	Top5 test acc: 96.55561065673828
DEBUG:root:Epoch 73	Top1 Train accuracy 48.203922271728516	Top1 Test accuracy: 63.69657516479492	Top5 test acc: 96.59352111816406
DEBUG:root:Epoch 74	Top1 Train accuracy 48.21388626098633	Top1 Test accuracy: 63.72587203979492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 75	Top1 Train accuracy 48.20989990234375	Top1 Test accuracy: 63.68680953979492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 76	Top1 Train accuracy 48.22783660888672	Top1 Test accuracy: 63.70634078979492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 77	Top1 Train accuracy 48.24378204345703	Top1 Test accuracy: 63.72587203979492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 78	Top1 Train accuracy 48.253746032714844	Top1 Test accuracy: 63.73563766479492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 79	Top1 Train accuracy 48.253746032714844	Top1 Test accuracy: 63.70634078979492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 80	Top1 Train accuracy 48.2557373046875	Top1 Test accuracy: 63.73563766479492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 81	Top1 Train accuracy 48.27566909790039	Top1 Test accuracy: 63.73563766479492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 82	Top1 Train accuracy 48.27965545654297	Top1 Test accuracy: 63.77470016479492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 83	Top1 Train accuracy 48.287628173828125	Top1 Test accuracy: 63.77470016479492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 84	Top1 Train accuracy 48.2856330871582	Top1 Test accuracy: 63.75516891479492	Top5 test acc: 96.62281799316406
DEBUG:root:Epoch 85	Top1 Train accuracy 48.28364181518555	Top1 Test accuracy: 63.76493453979492	Top5 test acc: 96.62281799316406
DEBUG:root:Epoch 86	Top1 Train accuracy 48.28961944580078	Top1 Test accuracy: 63.77470016479492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 87	Top1 Train accuracy 48.287628173828125	Top1 Test accuracy: 63.77470016479492	Top5 test acc: 96.62281799316406
DEBUG:root:Epoch 88	Top1 Train accuracy 48.28961944580078	Top1 Test accuracy: 63.77470016479492	Top5 test acc: 96.63258361816406
DEBUG:root:Epoch 89	Top1 Train accuracy 48.299583435058594	Top1 Test accuracy: 63.80399703979492	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 90	Top1 Train accuracy 48.315528869628906	Top1 Test accuracy: 63.80399703979492	Top5 test acc: 96.59352111816406
DEBUG:root:Epoch 91	Top1 Train accuracy 48.315528869628906	Top1 Test accuracy: 63.83329391479492	Top5 test acc: 96.59352111816406
DEBUG:root:Epoch 92	Top1 Train accuracy 48.32350158691406	Top1 Test accuracy: 63.85282516479492	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 93	Top1 Train accuracy 48.32350158691406	Top1 Test accuracy: 63.861446380615234	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 94	Top1 Train accuracy 48.33745193481445	Top1 Test accuracy: 63.871212005615234	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 95	Top1 Train accuracy 48.33147048950195	Top1 Test accuracy: 63.880977630615234	Top5 test acc: 96.60328674316406
DEBUG:root:Epoch 96	Top1 Train accuracy 48.35538864135742	Top1 Test accuracy: 63.920040130615234	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 97	Top1 Train accuracy 48.359375	Top1 Test accuracy: 63.920040130615234	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 98	Top1 Train accuracy 48.359375	Top1 Test accuracy: 63.929805755615234	Top5 test acc: 96.61305236816406
DEBUG:root:Epoch 99	Top1 Train accuracy 48.37332534790039	Top1 Test accuracy: 63.929805755615234	Top5 test acc: 96.60328674316406
INFO:root:Evaluation has finished.

INFO:root:Model checkpoint and metadata has been saved at runs/FT/[cifar10-cifar10]_BS=256_LR=8e-05_ADVModelEps=0.5.
